,County_slash_Sub_County,lighting_Conventional_Households,lighting_Mains_Electricity,lighting_Paraffin_Pressure_lamp,lighting_Paraffin_Lantern,lighting_Paraffin_Tin_Lamp,lighting_Gas_Lamp,lighting_Wood,lighting_Solar_and_Solar_Torch_and_Battery_Torch,lighting_Solar,lighting_Torch_slash_Spotlight_Solar_Charged,lighting_Torch_slash_Spotlight_Dry_cells,lighting_Candle,lighting_Battery_Car_Slash_Charged,lighting_Generator_Diesel_slash_Petrol),lighting_Biogas,lighting_Not_Stated,drinking_water_Conventional_Households,drinking_water_Pond,drinking_water_Dam_slash_Lake,drinking_water_Stream_slash_River,drinking_water_Protected_Spring,drinking_water_Unprotected_Spring,drinking_water_Protected_Well,unprotected_well_borehole_piped_dwelling,drinking_water_Unprotected_Well,drinking_water_Borehole_slash_Tube_well,drinking_water_Piped_into_dwelling,drinking_water_Piped_to_yard_slash_plot,drinking_water_Bottled_water,drinking_water_Rain_slash_Harvested_water,drinking_water_Water_Vendor,drinking_water_Public_tap_slash_Standpipe,drinking_water_Not_Stated,internet_population_above3_Total_Male_Female,internet_population_above3_Total,internet_population_above3_Male,internet_population_above3_Female,Use_of_Internet_Total,Use_of_Internet_pct,Use_of_Internet_Male_pct,Use_of_Internet_Male,Use_of_Internet_pct.1,Use_of_Internet_Female,Use_of_Internet_pct.2,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Total,pct_male_pct_female_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Total_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Male,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Male_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Female,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Female_pct,mo_phone_population_above_3_Total_Male_Female,mo_phone_population_above_3_Total,mo_phone_population_above_3_Male,mo_phone_population_above_3_Female,mobile_phone_Total,mobile_phone_Total_pct,mobile_phone_Male_and_pct,mobile_phone_Male,mobile_phone_Male_pct,mobile_phone_Female,mobile_phone_Female_pct
669,KIRINYAGA,"203,576",65.3,0.4,9.3,12.5,0,0.1,8.5 1.2 0.9,8.5,1.2,0.9,1.5,0.3,0,0,0,"203,576",0.1,0.1,27.8,1.4,1,7.4,1.3 3.7 17.2,1.3,3.7,17.2,30,1,1.3,1.9,5.9,0,"571,312 281,556 289,729","571,312","281,556","289,729","137,563",24.1,"73,577 26.1","73,577",26.1,"63,977",22.1,"55,510","9.7 30,794 10.9 24,715",9.7,"30,794",10.9,"24,715",8.5,"571,312 281,556 289,729","571,312","281,556","289,729","350,182",61.3,"171,114 60.8","171,114",60.8,"179,053",61.8
670,KIRINYAGA CENTRAL,"40,149",75.8,0.4,7.6,10,0,0.1,3.6 0.8 0.4,3.6,0.8,0.4,1.1,0.1,0,0,0,"40,149",0.1,0,15.8,1.7,0.7,13.7,0.7 4.7 21.2,0.7,4.7,21.2,35.3,0.5,0.5,0.5,4.5,0,"114,807 55,919 58,884","114,807","55,919","58,884","32,210",28.1,"16,912 30.2","16,912",30.2,"15,297",26.0,"14,786","12.9 7,974 14.3 6,812",12.9,"7,974",14.3,"6,812",11.6,"114,807 55,919 58,884","114,807","55,919","58,884","73,218",63.8,"35,262 63.1","35,262",63.1,"37,954",64.5
671,KIRINYAGA EAST,"44,509",68.4,0.4,9.2,13.8,0,0.1,4.7 1.1 0.8,4.7,1.1,0.8,1.3,0.1,-,0,0,"44,509",0.1,0,17.8,1.3,0.7,2.5,0.6 1.5 27.8,0.6,1.5,27.8,38.4,0.2,0.3,1.1,7.5,0,"127,964 63,267 64,689","127,964","63,267","64,689","28,245",22.1,"15,600 24.7","15,600",24.7,"12,642",19.5,"10,917","8.5 6,183 9.8 4,734",8.5,"6,183",9.8,"4,734",7.3,"127,964 63,267 64,689","127,964","63,267","64,689","79,263",61.9,"38,951 61.6","38,951",61.6,"40,306",62.3
672,KIRINYAGA WEST,"37,951",61.6,0.5,10.9,12,0.1,0.1,11.2 1.3 0.6,11.2,1.3,0.6,1.4,0.3,0,0,0,"37,951",0.1,0.1,26.6,1.4,1.8,9.6,1.8 1.9 14.8,1.8,1.9,14.8,28.9,0.6,4.3,2.4,5.6,0,"107,763 52,630 55,129","107,763","52,630","55,129","26,981",25.0,"14,332 27.2","14,332",27.2,"12,649",22.9,"11,750","10.9 6,526 12.4 5,224",10.9,"6,526",12.4,"5,224",9.5,"107,763 52,630 55,129","107,763","52,630","55,129","66,314",61.5,"31,850 60.5","31,850",60.5,"34,463",62.5
673,MWEA EAST,"46,331",61,0.4,9.2,12.5,0,0.1,11.4 1.5 1.6,11.4,1.5,1.6,2,0.3,0,0,0,"46,331",0.1,0.1,33.2,1.3,0.8,4.5,1.5 6.3 12.2,1.5,6.3,12.2,27.5,2.5,0.5,3.5,6.3,0,"122,344 60,740 61,598","122,344","60,740","61,598","30,098",24.6,"15,721 25.9","15,721",25.9,"14,374",23.3,"11,147","9.1 6,141 10.1 5,005",9.1,"6,141",10.1,"5,005",8.1,"122,344 60,740 61,598","122,344","60,740","61,598","74,416",60.8,"36,804 60.6","36,804",60.6,"37,608",61.1
674,MWEA WEST,"34,613",59.1,0.4,9.5,14.5,0.1,0,12.2 1.1 0.7,12.2,1.1,0.7,1.7,0.7,0,-,0,"34,613",0.1,0.1,48.4,1.1,0.8,8.1,1.9 3.6 8.4,1.9,3.6,8.4,17.6,1.2,1.2,1.9,5.5,0,"98,400 48,976 49,419","98,400","48,976","49,419","20,009",20.3,"10,996 22.5","10,996",22.5,"9,011",18.2,"6,901","7.0 3,962 8.1 2,939",7.0,"3,962",8.1,"2,939",5.9,"98,400 48,976 49,419","98,400","48,976","49,419","56,940",57.9,"28,224 57.6","28,224",57.6,"28,714",58.1
675,MURANG'A,"317,496",60.5,0.5,12.5,14.3,0.1,0.1,9.2 1.2 0.5,9.2,1.2,0.5,0.9,0.2,0,0,0,"317,496",0.5,0.4,25.1,1.6,1.6,7.9,2.2 6.2 16.7,2.2,6.2,16.7,20.7,0.4,7.6,4.1,5,0,"988,224 488,689 499,505","988,224","488,689","499,505","204,760",20.7,"111,466 22.8","111,466",22.8,"93,286",18.7,"80,287","8.1 44,903 9.2 35,380",8.1,"44,903",9.2,"35,380",7.1,"988,224 488,689 499,505","988,224","488,689","499,505","567,538",57.4,"274,225 56.1","274,225",56.1,"293,301",58.7
676,MURANG'A EAST,"34,650",63.4,0.4,9.9,13,0.1,0.1,10.3 1.5 0.4,10.3,1.5,0.4,0.7,0.1,0,-,0,"34,650",0.2,0.1,21.4,1.4,1.3,2.9,3.1 1.9 29.9,3.1,1.9,29.9,23.8,0.1,6.5,1.1,6.2,0,"101,606 49,826 51,779","101,606","49,826","51,779","27,922",27.5,"14,072 28.2","14,072",28.2,"13,850",26.7,"13,329","13.1 6,933 13.9 6,396",13.1,"6,933",13.9,"6,396",12.4,"101,606 49,826 51,779","101,606","49,826","51,779","62,035",61.1,"29,618 59.4","29,618",59.4,"32,417",62.6
677,KANGEMA,"25,283",59.5,0.5,15.4,13.6,0.1,0.1,8.7 1.1 0.4,8.7,1.1,0.4,0.6,0.1,0,-,-,"25,283",0.1,0.2,24.2,1.7,1,0.9,0.3 0.9 24.1,0.3,0.9,24.1,25.6,0,13.8,0.3,7,-,"75,668 37,165 38,500","75,668","37,165","38,500","15,764",20.8,"8,583 23.1","8,583",23.1,"7,180",18.6,"5,854","7.7 3,241 8.7 2,611",7.7,"3,241",8.7,"2,611",6.8,"75,668 37,165 38,500","75,668","37,165","38,500","45,821",60.6,"21,719 58.4","21,719",58.4,"24,101",62.6
678,MATHIOYA,"28,372",60.7,0.7,12.1,16.9,0,0.1,7.8 0.8 0.3,7.8,0.8,0.3,0.5,0.1,-,0,0,"28,372",0.1,0.1,32.1,1.6,1.4,6.3,1.6 2.3 14.0,1.6,2.3,14.0,23.7,0.1,13.1,0.2,3.5,0,"87,438 42,738 44,699","87,438","42,738","44,699","15,896",18.2,"8,626 20.2","8,626",20.2,"7,270",16.3,"6,196","7.1 3,442 8.1 2,754",7.1,"3,442",8.1,"2,754",6.2,"87,438 42,738 44,699","87,438","42,738","44,699","50,686",58.0,"23,916 56.0","23,916",56.0,"26,770",59.9
679,KAHURO,"26,778",58.7,0.6,16.4,12.7,0,0.1,8.8 1.6 0.5,8.8,1.6,0.5,0.5,0.1,-,-,0,"26,778",0.3,0,39.9,1.9,1.3,5.3,2.5 2.4 11.8,2.5,2.4,11.8,18.4,0.1,14.5,0.9,0.8,0,"83,338 40,864 42,467","83,338","40,864","42,467","15,911",19.1,"8,631 21.1","8,631",21.1,"7,275",17.1,"5,486","6.6 3,138 7.7 2,346",6.6,"3,138",7.7,"2,346",5.5,"83,338 40,864 42,467","83,338","40,864","42,467","48,925",58.7,"23,155 56.7","23,155",56.7,"25,767",60.7
680,MURANG'A SOUTH,"55,878",56.5,0.6,10.5,16.8,0.1,0.2,12.2 1.1 0.5,12.2,1.1,0.5,1.1,0.2,0,0,0,"55,878",0.6,0.6,21.8,1.9,3,16.4,4.4 10.9 9.2,4.4,10.9,9.2,10.9,1.5,5.1,9.7,3.9,0,"172,158 85,252 86,901","172,158","85,252","86,901","36,809",21.4,"20,103 23.6","20,103",23.6,"16,706",19.2,"14,629","8.5 8,285 9.7 6,344",8.5,"8,285",9.7,"6,344",7.3,"172,158 85,252 86,901","172,158","85,252","86,901","97,115",56.4,"47,344 55.5","47,344",55.5,"49,768",57.3
681,GATANGA,"55,340",60.1,0.4,11.8,11.2,0,0.1,12.3 1.6 0.7,12.3,1.6,0.7,1.3,0.3,0,0,0,"55,340",1.2,1.2,18.8,2,2.2,8.1,1.8 11.6 13.7,1.8,11.6,13.7,19.8,0.3,5.8,4.9,8.4,0,"175,723 88,134 87,586","175,723","88,134","87,586","37,930",21.6,"21,157 24.0","21,157",24.0,"16,772",19.1,"15,445","8.8 8,660 9.8 6,785",8.8,"8,660",9.8,"6,785",7.7,"175,723 88,134 87,586","175,723","88,134","87,586","99,119",56.4,"49,053 55.7","49,053",55.7,"50,064",57.2
682,KIGUMO,"40,528",57.3,0.4,14.7,17,0,0.1,8.2 1.0 0.4,8.2,1.0,0.4,0.8,0.2,0,-,0,"40,528",0.2,0.4,24.6,0.8,1,5.3,2.3 3.1 20.6,2.3,3.1,20.6,30.1,0.1,5.2,1.8,4.6,0,"128,481 63,728 64,750","128,481","63,728","64,750","23,144",18.0,"13,054 20.5","13,054",20.5,"10,089",15.6,"8,139","6.3 4,779 7.5 3,360",6.3,"4,779",7.5,"3,360",5.2,"128,481 63,728 64,750","128,481","63,728","64,750","72,183",56.2,"35,047 55.0","35,047",55.0,"37,135",57.4
683,KANDARA,"50,657",67.4,0.5,12.3,13.7,0,0,3.9 0.7 0.3,3.9,0.7,0.3,0.9,0.1,0,0,0,"50,657",0.3,0.1,27,1.3,0.9,9.6,1.0 7.2 16.8,1.0,7.2,16.8,19.8,0.3,5.1,6.6,4,0,"163,770 80,952 82,811","163,770","80,952","82,811","31,359",19.1,"17,219 21.3","17,219",21.3,"14,140",17.1,"11,201","6.8 6,419 7.9 4,782",6.8,"6,419",7.9,"4,782",5.8,"163,770 80,952 82,811","163,770","80,952","82,811","91,619",55.9,"44,347 54.8","44,347",54.8,"47,270",57.1
684,KIAMBU,"792,333",91.7,0.2,2.6,2.2,0,0,1.2 0.3 0.2,1.2,0.3,0.2,1.5,0.1,0,0,0,"792,333",0.2,0.3,4.2,0.6,0.2,8.9,0.3 10.3 22.8,0.3,10.3,22.8,30.2,3.6,1.6,8.8,8,0,"2,231,514 1,092,380 1,139,012","2,231,514","1,092,380","1,139,012","952,268",42.7,"486,137 44.5","486,137",44.5,"466,080",40.9,"486,912","21.8 261,359 23.9 225,529",21.8,"261,359",23.9,"225,529",19.8,"2,231,514 1,092,380 1,139,012","2,231,514","1,092,380","1,139,012","1,473,583",66.0,"716,399 65.6","716,399",65.6,"757,094",66.5
685,GATUNDU NORTH,"31,452",80.2,0.3,7.3,7,0,0.1,2.8 0.5 0.3,2.8,0.5,0.3,1.3,0.1,0,-,0,"31,452",0.1,0.1,11.4,0.4,0.2,5.3,0.2 7.6 20.0,0.2,7.6,20.0,43.4,0.1,2.9,1.2,7,0,"102,915 50,634 52,279","102,915","50,634","52,279","22,795",22.1,"12,306 24.3","12,306",24.3,"10,488",20.1,"7,491","7.3 4,301 8.5 3,190",7.3,"4,301",8.5,"3,190",6.1,"102,915 50,634 52,279","102,915","50,634","52,279","59,090",57.4,"28,435 56.2","28,435",56.2,"30,653",58.6
686,GATUNDU SOUTH,"35,577",90.6,0.3,3.6,3.4,0,0.1,0.3 0.1 0.1,0.3,0.1,0.1,1.3,0,0,-,0,"35,577",0.1,0.3,16.6,0.6,0.3,5.4,0.2 6.7 20.1,0.2,6.7,20.1,30.8,0.4,3.2,1.2,13.9,0,"114,575 56,630 57,941","114,575","56,630","57,941","26,346",23.0,"14,104 24.9","14,104",24.9,"12,242",21.1,"8,851","7.7 4,901 8.7 3,950",7.7,"4,901",8.7,"3,950",6.8,"114,575 56,630 57,941","114,575","56,630","57,941","67,388",58.8,"32,708 57.8","32,708",57.8,"34,678",59.9
687,GITHUNGURI,"49,414",89,0.3,4.7,3.3,0.1,0,0.4 0.3 0.2,0.4,0.3,0.2,1.6,0.1,-,-,0,"49,414",0.1,0.4,10.8,0.7,0.2,35.4,0.6 19.7 12.3,0.6,19.7,12.3,11.2,0.4,1.7,4,2.5,0,"155,046 76,874 78,164","155,046","76,874","78,164","42,369",27.3,"22,149 28.8","22,149",28.8,"20,218",25.9,"16,086","10.4 8,839 11.5 7,247",10.4,"8,839",11.5,"7,247",9.3,"155,046 76,874 78,164","155,046","76,874","78,164","94,071",60.7,"45,966 59.8","45,966",59.8,"48,100",61.5
688,JUJA,"104,042",91.2,0.1,2.4,1.6,0,0,2.3 0.4 0.2,2.3,0.4,0.2,1.5,0.1,0,0,0,"104,042",0.3,0.2,4,0.5,0,1.6,0.1 7.1 28.7,0.1,7.1,28.7,32.8,2.6,1.8,10.3,9.8,0,"277,171 136,491 140,658","277,171","136,491","140,658","133,777",48.3,"68,981 50.5","68,981",50.5,"64,788",46.1,"71,054","25.6 39,208 28.7 31,842",25.6,"39,208",28.7,"31,842",22.6,"277,171 136,491 140,658","277,171","136,491","140,658","188,618",68.1,"92,961 68.1","92,961",68.1,"95,637",68.0
689,KABETE,"66,681",95.1,0.1,1.5,0.9,0,0,0.4 0.2 0.1,0.4,0.2,0.1,1.6,0,0,0,0,"66,681",0,0.2,1.9,0.7,0.3,19.5,0.6 15.9 16.4,0.6,15.9,16.4,22.5,5.2,1,12.3,3.4,0,"184,688 90,196 94,478","184,688","90,196","94,478","87,230",47.2,"44,176 49.0","44,176",49.0,"43,047",45.6,"46,746","25.3 25,118 27.8 21,623",25.3,"25,118",27.8,"21,623",22.9,"184,688 90,196 94,478","184,688","90,196","94,478","126,101",68.3,"60,993 67.6","60,993",67.6,"65,095",68.9
690,KIAMBAA,"80,316",94,0.2,1.8,1.8,0.1,0,0.4 0.2 0.1,0.4,0.2,0.1,1.3,0,0,0,0,"80,316",0.1,0.2,2.6,0.7,0.3,18.7,0.3 19.7 16.0,0.3,19.7,16.0,16.5,7.5,0.6,10.2,6.5,0,"218,165 106,623 111,530","218,165","106,623","111,530","101,132",46.4,"50,970 47.8","50,970",47.8,"50,160",45.0,"51,780","23.7 27,063 25.4 24,714",23.7,"27,063",25.4,"24,714",22.2,"218,165 106,623 111,530","218,165","106,623","111,530","147,894",67.8,"71,868 67.4","71,868",67.4,"76,019",68.2
691,KIAMBU SUBCOUNTY,"46,816",93.6,0.1,1.9,2,0,0,0.6 0.2 0.1,0.6,0.2,0.1,1.3,0,-,0,0.1,"46,816",0.2,1.5,3.7,0.8,0.4,7.1,0.3 12.4 26.6,0.3,12.4,26.6,23.3,5.8,0.8,6.1,10.9,0.1,"133,949 63,471 70,464","133,949","63,471","70,464","67,815",50.6,"32,488 51.2","32,488",51.2,"35,319",50.1,"40,193","30.0 20,311 32.0 19,881",30.0,"20,311",32.0,"19,881",28.2,"133,949 63,471 70,464","133,949","63,471","70,464","92,466",69.0,"43,173 68.0","43,173",68.0,"49,283",69.9
692,KIKUYU,"60,619",93.7,0.1,2,1.2,0,0,1.1 0.2 0.1,1.1,0.2,0.1,1.4,0,0,0,0,"60,619",0,0,0.6,0.3,0,0.4,0.1 10.2 28.2,0.1,10.2,28.2,32.5,6.3,1.5,11.5,8.4,0,"172,833 83,603 89,226","172,833","83,603","89,226","83,951",48.6,"41,613 49.8","41,613",49.8,"42,336",47.4,"49,598","28.7 25,598 30.6 23,999",28.7,"25,598",30.6,"23,999",26.9,"172,833 83,603 89,226","172,833","83,603","89,226","118,008",68.3,"56,334 67.4","56,334",67.4,"61,670",69.1
693,LARI,"38,585",82.1,0.4,6.5,5.9,0,0,1.8 0.6 0.3,1.8,0.6,0.3,2,0.2,-,0,0,"38,585",0.4,0.7,12.4,1.1,0.8,33.5,1.3 11.6 10.6,1.3,11.6,10.6,15.9,0.6,3.7,3.6,3.9,0,"125,884 62,427 63,454","125,884","62,427","63,454","29,719",23.6,"16,394 26.3","16,394",26.3,"13,325",21.0,"10,661","8.5 5,999 9.6 4,662",8.5,"5,999",9.6,"4,662",7.3,"125,884 62,427 63,454","125,884","62,427","63,454","72,101",57.3,"35,597 57.0","35,597",57.0,"36,504",57.5
694,LIMURU,"49,096",86.6,0.3,3.9,3.9,0.1,0.1,2.6 0.4 0.3,2.6,0.4,0.3,1.8,0.1,0,0,0,"49,096",0,0.2,2.3,0.5,0,3.6,0.1 8.2 19.5,0.1,8.2,19.5,41.4,0.6,3,13.6,7,0,"147,004 73,445 73,559","147,004","73,445","73,559","49,957",34.0,"26,789 36.5","26,789",36.5,"23,168",31.5,"22,425","15.3 12,384 16.9 10,041",15.3,"12,384",16.9,"10,041",13.7,"147,004 73,445 73,559","147,004","73,445","73,559","91,077",62.0,"45,490 61.9","45,490",61.9,"45,587",62.0
695,RUIRU,"127,910",95.8,0.1,0.9,0.8,0,0,0.7 0.2 0.1,0.7,0.2,0.1,1.2,0,-,0,0,"127,910",0,0.1,0.5,0.4,0,0.6,0.1 8.7 24.1,0.1,8.7,24.1,34,5.5,1.3,14.8,9.8,0,"340,681 165,256 175,406","340,681","165,256","175,406","181,536",53.3,"92,193 55.8","92,193",55.8,"89,333",50.9,"97,382","28.6 52,725 31.9 44,652",28.6,"52,725",31.9,"44,652",25.5,"340,681 165,256 175,406","340,681","165,256","175,406","238,845",70.1,"115,925 70.1","115,925",70.1,"122,906",70.1
696,THIKA EAST,"12,736",75.3,0.2,8,5.3,0,0.1,6.0 1.2 0.8,6.0,1.2,0.8,2.8,0.2,0,-,0,"12,736",2.5,0.4,11.6,2.9,3.9,2.9,2.1 6.3 16.6,2.1,6.3,16.6,27.6,1.2,4.1,10.3,7.5,0,"35,971 18,224 17,743","35,971","18,224","17,743","10,688",29.7,"5,780 31.7","5,780",31.7,"4,905",27.6,"4,157","11.6 2,305 12.6 1,852",11.6,"2,305",12.6,"1,852",10.4,"35,971 18,224 17,743","35,971","18,224","17,743","21,836",60.7,"11,114 61.0","11,114",61.0,"10,719",60.4
697,THIKA WEST,"89,089",95,0.1,1.4,1,0,0.1,0.5 0.2 0.1,0.5,0.2,0.1,1.5,0,0,0,0,"89,089",0,0.1,1.1,0.5,0.1,0.2,0.0 0.6 35.2,0.0,0.6,35.2,48,1.6,0.1,2.3,10,0,"222,632 108,506 114,110","222,632","108,506","114,110","114,953",51.6,"58,194 53.6","58,194",53.6,"56,751",49.7,"60,488","27.2 32,607 30.1 27,876",27.2,"32,607",30.1,"27,876",24.4,"222,632 108,506 114,110","222,632","108,506","114,110","156,088",70.1,"75,835 69.9","75,835",69.9,"80,243",70.3
698,TURKANA,"162,627",8.6,0.1,0.9,1.8,0.3,49.1,6.2 12.1 18.2,6.2,12.1,18.2,1.8,0.2,0.7,0,0.1,"162,627",0.7,5.1,30,1.2,1.4,3.3,11.7 13.2 2.5,11.7,13.2,2.5,6.5,0.1,0.2,2.9,21.2,0.1,"851,797 439,467 412,311","851,797","439,467","412,311","58,533",6.9,"36,920 8.4","36,920",8.4,"21,613",5.2,"20,541","2.4 13,440 3.1 7,101",2.4,"13,440",3.1,"7,101",1.7,"851,797 439,467 412,311","851,797","439,467","412,311","141,432",16.6,"79,015 18.0","79,015",18.0,"62,417",15.1
699,KIBISH,"5,699",0.2,-,-,0.2,0.6,71,1.4 4.0 22.6,1.4,4.0,22.6,0.1,0,0,0,-,"5,699",0.8,6.4,22.7,3.1,10.2,1.8,17.1 18.3 0.6,17.1,18.3,0.6,1.4,0,1.5,0,16.1,-,"33,611 17,046 16,564","33,611","17,046","16,564",890,2.6,591 3.5,591,3.5,299,1.8,310,0.9 216 1.3 94,0.9,216,1.3,94,0.6,"33,611 17,046 16,564","33,611","17,046","16,564","1,984",5.9,"1,114 6.5","1,114",6.5,870,5.3
700,LOIMA,"19,139",1,0,0.1,0.6,0.1,79.9,2.0 5.9 8.9,2.0,5.9,8.9,1.2,0,0.1,0.1,0.1,"19,139",0.3,2.2,41.7,0.4,1.2,4.3,19.8 12.3 0.9,19.8,12.3,0.9,1.1,0,0.4,0.2,15.2,0.1,"98,183 49,440 48,743","98,183","49,440","48,743","2,901",3.0,"1,821 3.7","1,821",3.7,"1,080",2.2,"1,062",1.1 663 1.3 399,1.1,663,1.3,399,0.8,"98,183 49,440 48,743","98,183","49,440","48,743","10,405",10.6,"5,991 12.1","5,991",12.1,"4,414",9.1
701,TURKANA CENTRAL,"37,917",26.6,0.2,2,2.8,0.1,26,5.9 9.8 24.5,5.9,9.8,24.5,1.9,0.2,0,0,0,"37,917",0.2,6.7,20.3,0.9,1,3.2,9.8 7.5 6.6,9.8,7.5,6.6,17.2,0.2,0,6.6,19.8,0,"166,135 82,906 83,229","166,135","82,906","83,229","19,585",11.8,"11,961 14.4","11,961",14.4,"7,624",9.2,"7,633","4.6 4,888 5.9 2,745",4.6,"4,888",5.9,"2,745",3.3,"166,135 82,906 83,229","166,135","82,906","83,229","46,066",27.7,"25,155 30.3","25,155",30.3,"20,911",25.1
702,TURKANA EAST,"17,887",1.7,0.1,0.4,0.9,0.2,65.2,4.8 8.5 16.9,4.8,8.5,16.9,1.2,0.1,0,0,0.1,"17,887",0.7,5.2,56.2,1.3,1.7,2.4,15.4 3.7 1.1,15.4,3.7,1.1,3.8,0,0.1,1,7.4,0.1,"130,834 72,914 57,908","130,834","72,914","57,908","7,414",5.7,"4,754 6.5","4,754",6.5,"2,660",4.6,"2,839","2.2 1,792 2.5 1,047",2.2,"1,792",2.5,"1,047",1.8,"130,834 72,914 57,908","130,834","72,914","57,908","17,271",13.2,"9,787 13.4","9,787",13.4,"7,484",12.9
703,TURKANA NORTH,"12,964",1.4,-,0.1,0.2,0.2,61.1,2.1 7.9 25.8,2.1,7.9,25.8,0.8,0.1,0.3,0,0,"12,964",0.6,13.4,31.2,1.2,1.4,4.2,14.2 21.1 1.2,14.2,21.1,1.2,2.1,0,0.1,0.4,8.9,0,"59,378 29,770 29,608","59,378","29,770","29,608","2,038",3.4,"1,339 4.5","1,339",4.5,699,2.4,773,1.3 571 1.9 202,1.3,571,1.9,202,0.7,"59,378 29,770 29,608","59,378","29,770","29,608","7,427",12.5,"4,280 14.4","4,280",14.4,"3,147",10.6
704,TURKANA SOUTH,"24,281",5.5,0.2,1.1,4,0.3,53.2,8.0 10.4 15.1,8.0,10.4,15.1,1.7,0.4,0,0,0.1,"24,281",1.2,2.5,18.6,1.1,1.1,4.5,12.1 23.7 1.4,12.1,23.7,1.4,4.7,0,0.2,3.6,25.1,0.1,"142,538 72,846 69,688","142,538","72,846","69,688","9,280",6.5,"5,851 8.0","5,851",8.0,"3,429",4.9,"3,555","2.5 2,300 3.2 1,255",2.5,"2,300",3.2,"1,255",1.8,"142,538 72,846 69,688","142,538","72,846","69,688","26,076",18.3,"14,437 19.8","14,437",19.8,"11,639",16.7
705,TURKANA WEST,"44,740",4.3,0.2,0.7,1.4,0.4,40.5,9.5 21.3 16.4,9.5,21.3,16.4,2.6,0.2,2.3,0.1,0.1,"44,740",0.9,3.8,29.6,1.7,0.9,2.4,6.8 13.5 1.3,6.8,13.5,1.3,3.8,0.1,0.1,2.5,32.5,0.1,"221,118 114,545 106,571","221,118","114,545","106,571","16,425",7.4,"10,603 9.3","10,603",9.3,"5,822",5.5,"4,369","2.0 3,010 2.6 1,359",2.0,"3,010",2.6,"1,359",1.3,"221,118 114,545 106,571","221,118","114,545","106,571","32,203",14.6,"18,251 15.9","18,251",15.9,"13,952",13.1
706,WEST POKOT,"115,761",11.8,0.2,4.7,5.1,0.2,31.7,15.1 11.8 18.6,15.1,11.8,18.6,0.7,0.1,0,0,0,"115,761",1.3,2.8,59.5,2.9,2.2,4.4,2.2 11.5 3.4,2.2,11.5,3.4,5.1,0.2,0.6,0.6,3.1,0,"553,584 272,728 280,844","553,584","272,728","280,844","44,864",8.1,"28,103 10.3","28,103",10.3,"16,761",6.0,"16,460","3.0 10,064 3.7 6,396",3.0,"10,064",3.7,"6,396",2.3,"553,584 272,728 280,844","553,584","272,728","280,844","116,990",21.1,"67,674 24.8","67,674",24.8,"49,315",17.6
707,KIPKOMO,"18,367",11.7,0.1,7,7.8,0.2,25.1,19.6 8.4 19.2,19.6,8.4,19.2,0.9,0.1,0,-,-,"18,367",0.7,1.8,63.3,3,3.1,2.3,2.7 6.1 5.6,2.7,6.1,5.6,8.2,0.1,0.3,0.1,2.7,-,"91,581 45,307 46,268","91,581","45,307","46,268","7,394",8.1,"4,709 10.4","4,709",10.4,"2,685",5.8,"2,760","3.0 1,660 3.7 1,100",3.0,"1,660",3.7,"1,100",2.4,"91,581 45,307 46,268","91,581","45,307","46,268","20,782",22.7,"12,001 26.5","12,001",26.5,"8,780",19.0
708,POKOT CENTRAL,"21,784",2.3,0.1,3.2,2.1,0.2,39.2,8.9 12.5 30.8,8.9,12.5,30.8,0.7,0.1,-,0,0,"21,784",0.9,4.1,62.8,2.8,3.3,1,1.1 3.5 5.6,1.1,3.5,5.6,6.6,0.2,0.3,0.4,7.4,0,"106,071 53,164 52,905","106,071","53,164","52,905","4,848",4.6,"3,260 6.1","3,260",6.1,"1,588",3.0,"1,543","1.5 1,005 1.9 538",1.5,"1,005",1.9,538,1.0,"106,071 53,164 52,905","106,071","53,164","52,905","16,135",15.2,"10,306 19.4","10,306",19.4,"5,829",11.0
709,POKOT NORTH,"25,736",1.4,0.1,1.9,1.1,0.2,53.7,8.7 14.4 17.8,8.7,14.4,17.8,0.6,0.1,0,0,0.1,"25,736",3.7,4.6,49.3,1,2.3,0.7,5.5 30.2 0.5,5.5,30.2,0.5,0.1,0.1,0.6,0.1,1.2,0.1,"118,673 56,999 61,672","118,673","56,999","61,672","5,448",4.6,"3,570 6.3","3,570",6.3,"1,878",3.0,"2,100","1.8 1,352 2.4 748",1.8,"1,352",2.4,748,1.2,"118,673 56,999 61,672","118,673","56,999","61,672","17,472",14.7,"10,912 19.1","10,912",19.1,"6,560",10.6
710,POKOT SOUTH,"13,752",5.8,0.2,5.2,3.3,0.3,19.9,35.5 14.2 15.2,35.5,14.2,15.2,0.4,0.1,-,-,-,"13,752",0.1,0.2,66,3.1,2.2,0.5,0.2 0.1 7.0,0.2,0.1,7.0,17,0,0.2,0.1,3.4,-,"72,458 35,681 36,775","72,458","35,681","36,775","6,461",8.9,"4,310 12.1","4,310",12.1,"2,151",5.8,"1,890","2.6 1,222 3.4 668",2.6,"1,222",3.4,668,1.8,"72,458 35,681 36,775","72,458","35,681","36,775","18,526",25.6,"10,205 28.6","10,205",28.6,"8,321",22.6
